Cybermaterials: materials by design and accelerated insertion of materials : p11	g	Prc	Graded Recrystallization	:	Str	Web	gamma Structure	
Cybermaterials: materials by design and accelerated insertion of materials : p11	g	Prc	Consolidation , HIP	:	Str	Web	Inclusions	
Cybermaterials: materials by design and accelerated insertion of materials : p11	g	Prp	Crack Growth Resistance	:	Str	Rim		
Cybermaterials: materials by design and accelerated insertion of materials : p11	g	Prp	Creep Strength	:	Str	Rim		
Cybermaterials: materials by design and accelerated insertion of materials : p11	g	Prp	Notch Fatigue Strength	:	Str	Rim		
Cybermaterials: materials by design and accelerated insertion of materials : p11	g	Prp	Notch Fatigue Strength	:	Str	Web		
Cybermaterials: materials by design and accelerated insertion of materials : p11	g	Prp	Notch Fatigue Strength	:	Str	Bore		
Cybermaterials: materials by design and accelerated insertion of materials : p11	g	Prp	Burst Resistance	:	Str	Bore		
Ikumu : p7	g	Prc	Melt	:	Prc	Cast		
Ikumu : p7	g	Prc	Cast	:	Prc	Homogenize		
Ikumu : p7	g	Prc	Homogenize	:	Prc	Hot Work		
Ikumu : p7	g	Prc	Hot Work	:	Prc	Solution Treatment		
Ikumu : p7	g	Prc	Solution Treatment	:	Prc	Age		
Ikumu : p7	g	Prc	Age	:	Str	Strengthening Dispersion		
Ikumu : p7	g	Prc	Solution Treatment	:	Str	Grain Refiner		
Ikumu : p7	g	Prc	Hot Work	:	Str	Matrix		
Ikumu : p7	g	Prc	Homogenize	:	Str	Matrix		
Ikumu : p7	g	Prc	Cast	:	Str	Matrix		
Ikumu : p7	g	Prp	Strength	:	Str	Strengthening Dispersion		
Ikumu : p7	g	Prp	Strength	:	Str	Matrix		
Ikumu : p7	g	Prp	Toughness	:	Str	Grain Refiner		
Ikumu : p7	g	Prp	Toughness	:	Str	Matrix		
Ikumu : p7	g	Prp	Formability	:	Str	Matrix		
Ikumu : p9	g	Prc	Melt-refining	:	Prc	Solidification		
Ikumu : p9	g	Prc	Solidification	:	Prc	Hot rolling		
Ikumu : p9	g	Prc	Hot rolling	:	Prc	Anneal		
Ikumu : p9	g	Prc	Anneal	:	Prc	Cooling		
Ikumu : p9	g	Prc	Cooling	:	Prc	Anneal		
Ikumu : p9	g	Prc	Solidification	:	Str	Silicide		
Ikumu : p9	g	Prc	Solidification	:	Str	Prevent Ti-TM intermetallics		
Ikumu : p9	g	Prc	Anneal	:	Str	Silicide		
Ikumu : p9	g	Prc	Anneal	:	Str	Prevent Ti-TM intermetallics		
Ikumu : p9	g	Prc	Anneal	:	Str	beta phase		
Ikumu : p9	g	Prc	Anneal	:	Str	alpha phase		
Ikumu : p9	g	Prc	Cooling	:	Str	alpha phase		
Ikumu : p9	g	Prc	Cooling	:	Str	beta phase		
Ikumu : p9	g	Str	alpha phase	Solid solution strengthening	:	Prp	Strength	
Ikumu : p9	g	Str	alpha phase	Lath thickness	:	Prp	Strength	
Ikumu : p9	g	Str	beta phase	Solid solution strengthening	:	Prp	Strength	
Ikumu : p9	g	Str	beta phase	Layer thickness	:	Prp	Strength	
Ikumu : p9	g	Str	beta phase	Thermodynamic stability	:	Prp	Fracture Toughness	
Ikumu : p9	g	Str	beta phase	Layer thickness	:	Prp	Fracture Toughness	
Ikumu : p9	g	Str	beta phase	Phase fraction	:	Prp	Weldability	
Ikumu : p9	g	Str	Prevent Ti-TM intermetallics	:	Prp	Weldability		
